Author_Name,Title,Elapsed_Time,Num_Comments,Number_of_Upvotes,Author_Tier,Author_Discussion_Tier,Num_Followers,Discussion_Golds,Discussion_Silvers,Discussion_Bronzes,Current_Discussion_Rank,Highest_Discussion_Rank,Discussion_link
Ryan Holbrook,Computer Vision Course Discussion,a year,123,29,Team,Expert,920,146,12,15,Unranked,Unranked,https://www.kaggle.com/getting-started/196537
Asim Zahid,Secret Recipe of Earning Kaggle Medals,a year,34,29,Expert,Contributor,59,35,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/214859
Asha Gutlapalli,✔ Data Science Recommendations 💻🎊,a year,40,29,Expert,Expert,60,76,1,1,1165,612,https://www.kaggle.com/getting-started/233309
Suman Dey,🔥 Weekly Cheat Sheet #6: SQL ✔️,8 months,41,30,Expert,Expert,70,434,9,9,139,65,https://www.kaggle.com/getting-started/248909
Marília Prata,Notebook's Conclusions: The importance of your ideas.,7 months,54,30,Master,Master,1979,7609,69,37,4,4,https://www.kaggle.com/getting-started/255131
Mohamed Hany,7 Basic Statistics Concepts for Data Science,6 months,57,30,Master,Master,121,580,35,17,60,43,https://www.kaggle.com/getting-started/268474
Dmitry Egorov,How do I comment lines in a python notebook?,5 years,17,29,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/24479
Lyndon Sundmark,Deleting of Datasets?,5 years,28,29,Novice,Novice,10,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/28085
Ouassim Adnane,10 Places To Find Datasets For Data Science Projects,3 years,35,29,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/79557
Firat Gonen,"Great Start to Online Education, sorry Netflix ! A nice read to anyone but especially Beginners!",3 years,24,29,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/95942
Vikum Sri Wijesinghe,Why you should become a contributor first!,3 years,32,30,Master,Expert,148,129,6,1,1671,154,https://www.kaggle.com/getting-started/104613
Mohammed Tayor,30 Days of Data Science Interview Questions Preparation,2 years,20,29,Expert,Expert,48,203,10,9,799,85,https://www.kaggle.com/getting-started/116919
Raju Kumar Mishra,9 Excellent collection of Tableau interview questions,2 years,8,29,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/119537
Fares Sayah,Principal Component Analysis (PCA),2 years,38,29,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/132533
Christophe_Lebec,How to choose a machine learning algorithm,2 years,60,29,Expert,Expert,11,61,2,2,1738,392,https://www.kaggle.com/getting-started/140156
Ravi Chaubey,Extrapolation : Value Beyond Range,2 years,0,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/143451
Darshan Gandhi,Basics of Exploratory Data Analysis!,2 years,65,29,Expert,Expert,38,72,1,2,1582,316,https://www.kaggle.com/getting-started/148942
Ravi Chaubey,Tutorial on NLP with Python!!!,2 years,4,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/150190
Ravi Chaubey,"Data Scientist Role,Skills & Team !!",2 years,9,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/152781
Ravi Chaubey,Data Storytelling : What would you like to Show?,2 years,4,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/154224
Ravi Chaubey,CheatSheet Caret Package : R,2 years,2,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/157813
Ravi Chaubey,"Numpy, Pandas and Matplotlib Resources !!",2 years,1,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/164085
JIL KOTHARI,How to get started with Data Science?,a year,58,29,Expert,Expert,64,59,2,4,1359,385,https://www.kaggle.com/getting-started/182004
shivan kumar,SQL Cheat sheet,a year,31,29,Master,Expert,335,186,18,8,492,101,https://www.kaggle.com/getting-started/188531
Abheeshth Mishra,Decision Tree Part-1 (geometrical intuition behind DT),a year,19,29,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/215795
Suman Dey,🔥 Weekly Cheat Sheet #1: Pandas ✔️,9 months,36,28,Expert,Expert,70,434,9,9,139,65,https://www.kaggle.com/getting-started/245774
Subham Surana,List of Ongoing Kaggle Competitions to Get Started!,7 months,28,29,Master,Expert,156,305,7,20,86,61,https://www.kaggle.com/getting-started/261968
Raman Jha,What is Gradient Descent Algorithm?,5 months,56,29,Expert,Expert,7,48,6,2,785,599,https://www.kaggle.com/getting-started/276861
Jehan Bhathena,Best Websites For Finding Public Datasets,4 months,59,29,Expert,Expert,23,47,2,7,481,389,https://www.kaggle.com/getting-started/286586
Ayush Jain,Path to Data Science- Beginner Guide,2 months,47,29,Expert,Expert,7,101,1,2,527,526,https://www.kaggle.com/getting-started/297673
Raju Kumar Mishra,Each function of NumPy with Example,3 years,20,28,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/98833
Firat Gonen,"Magnificent Chart, Great for Beginners & Novices: Best AI, ML & Data Science Resources in a Chart Format",3 years,24,28,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/100325
Mohammed Tayor,88 Free Resources Every Data Scientist Should Have[PDF],3 years,38,28,Expert,Expert,48,203,10,9,799,85,https://www.kaggle.com/getting-started/103629
Marco Vasquez E,Top 9 Data Science Algorithms . How to Choose?,3 years,20,28,Master,Expert,268,348,8,8,710,78,https://www.kaggle.com/getting-started/105839
Raju Kumar Mishra,Set of SQL questions for data science interview,3 years,16,28,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/108054
Firat Gonen,Inferential Statistics Guide for Data Science (Great for Beginners),2 years,21,28,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/108310
Raju Kumar Mishra,Book Mining the Social Web in Notebook Form,2 years,11,28,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/111833
Firat Gonen,Financial Time Series Forecasting with Deep learning: A Systematic Literature Review: 2005-2019,2 years,17,28,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/120718
Ravi Chaubey,Inspecting Data using t-SNE,2 years,3,28,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/137913
Prashant Banerjee,Online Statistics Book - Best for Beginners,2 years,24,27,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/139591
Ravi Chaubey,"Top 28 Cheat Sheets for Machine Learning, Data Science, Probability, SQL & Big Data",2 years,1,28,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/144924
Kuber@IITB,Tips on reading research papers by Prof. Andrew NG,2 years,1,28,Expert,Expert,31,57,6,0,1595,492,https://www.kaggle.com/getting-started/147443
Ravi Chaubey,Free Course!! 143 Hours of Machine Learning !!!,2 years,5,28,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/147593
Ravi Chaubey,100 Data Science Interview Q/A,2 years,7,28,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/149908
Ravi Chaubey,8 Mistake Every Beginner Programmer Makes !!,2 years,3,29,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/153309
Paras Varshney,Help me start with Kaggle!,2 years,31,28,Master,Expert,243,128,1,3,1029,348,https://www.kaggle.com/getting-started/155779
Aniket Gaikwad,Pandas Cheat Sheet for Everyone!,2 years,12,28,Contributor,Contributor,3,6,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/156692
Mohamed Rashad,Computer vision roadmap,2 years,27,28,Expert,Expert,15,73,2,0,1801,478,https://www.kaggle.com/getting-started/158267
Tasnim Nishat Islam,"Kaggle Community Bangladesh, posting our activity thread",2 years,67,28,Expert,Expert,148,88,2,3,1281,276,https://www.kaggle.com/getting-started/160150
Ruchi Bhatia,Everything you need to know about PyTorch and Tensorflow✨,a year,37,28,Grandmaster,Master,3039,327,37,25,113,44,https://www.kaggle.com/getting-started/185840
Piyush Agnihotri,Best way to apply Feature Selection Techniques in ML.,a year,63,28,Expert,Expert,17,54,0,1,1778,627,https://www.kaggle.com/getting-started/186082
Heeral Dedhia,Useful Kaggle datasets for beginners (Classification / Regression / Visualization / CNN / Time Series / NLP),a year,36,28,Expert,Expert,120,104,3,6,778,270,https://www.kaggle.com/getting-started/196714
Heeral Dedhia,10 Data Science courses to get you started,a year,68,27,Expert,Expert,120,104,3,6,778,270,https://www.kaggle.com/getting-started/203445
Tanmay Unhale,7 Different libraries for Data Visualization.,a year,27,28,Expert,Expert,25,167,0,1,883,336,https://www.kaggle.com/getting-started/206311
Hetvi Gandhi,"6 months into My AIML journey: Lessons learned, mistakes made, and future plans",2 months,49,28,Contributor,Contributor,12,25,2,1,Unranked,Unranked,https://www.kaggle.com/getting-started/300017
Marília Prata,Code Kagglers. Code and don't waste time. Achieving Mastery means hard effort.,2 months,53,28,Master,Master,1979,7609,69,37,4,4,https://www.kaggle.com/getting-started/301855
Merishna Singh Suwal,How to get started on Kaggle ( For total beginners),4 years,14,26,Contributor,Contributor,33,5,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/63565
def me(x),Motivation for Junior DS job seekers,4 years,16,27,Expert,Expert,188,73,3,1,2258,167,https://www.kaggle.com/getting-started/63712
DanB,What Partial Dependence Plots Would You Be Curious To See,3 years,60,27,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/65782
DanB,Gallery for Interesting Insights using techniques from ML Insights Course,3 years,33,27,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/66354
Lambert L.,[Solved] How to reset lessons?,3 years,23,27,Contributor,Contributor,1,8,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/67388
Firat Gonen,DataCamp,3 years,51,27,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/95791
Marco Vasquez E,Top 10 Best IDE for Python: How to choose?,3 years,37,27,Master,Expert,268,348,8,8,710,78,https://www.kaggle.com/getting-started/104154
Raju Kumar Mishra,Collection of MongoDb interview questions,2 years,8,27,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/119441
Firat Gonen,NeurIPS 2019 Vancouver Visual Notes pdf by Robert Lange,2 years,9,27,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/122084
Raju Kumar Mishra,A just before data science interview refresher,2 years,18,27,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/130498
Caesar Lupum,INTRO - Satellite imagery Analysis 📶 with a modern geospatial workflow🔘🌐 and Anomaly Detection in Satellite imagery 📶,2 years,20,27,Master,Expert,367,524,13,8,393,54,https://www.kaggle.com/getting-started/131455
Tushar Mishra,ML Cheatsheet,2 years,37,27,Expert,Contributor,5,28,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/137769
Najeeb Ahmed Bhuiyan,Novice to Notebooks Expert in Two Weeks: My story,6 months,61,27,Expert,Expert,22,55,0,1,1175,839,https://www.kaggle.com/getting-started/271668
KritiDoneria,What I have learnt participating in the last 7 Tabular Playground series competitions,5 months,24,27,Master,Master,253,642,39,32,20,16,https://www.kaggle.com/getting-started/275912
Ahmed Shahriar Sakib,Python Graph Gallery : A collection of Charts made with Python Libraries,5 months,16,27,Expert,Expert,48,392,10,5,149,149,https://www.kaggle.com/getting-started/278393
Shivam Bansal,Best of Kaggle Notebooks #7 - HyperParameter Optimization Tools,4 months,27,27,Grandmaster,Grandmaster,4240,438,29,51,29,20,https://www.kaggle.com/getting-started/288182
Aman Kumar,100+ Data Science / ML / AI Combined Reference,2 months,63,27,Master,Expert,122,149,7,7,415,182,https://www.kaggle.com/getting-started/302061
Ajoy Bhatia,Where are the Competition Categories?,8 years,2,26,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/6479
Lathwal,Part 2 -Time Series Analysis in R (Notebooks & Tutorials),4 years,4,26,Master,Expert,615,131,4,4,2185,62,https://www.kaggle.com/getting-started/54734
Raju Kumar Mishra,50 data science interview questions,3 years,11,25,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/97144
Prashant Banerjee,Highest rated ML projects on github,3 years,15,26,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/104499
Suneel Patel,How and why beginner should become a contributor first ??,3 years,30,26,Expert,Expert,71,93,3,1,2015,247,https://www.kaggle.com/getting-started/105452
Firat Gonen,Feature Scaling and Normalization (a Guide for Beginners with codes),3 years,25,26,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/107843
Raju Kumar Mishra,Using Kaggle to improve your knowledge and get Data Science Job,2 years,2,26,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/116513
Saurav Anand,Microsoft Azure Cheatsheet,2 years,7,26,Master,Expert,316,410,14,6,400,97,https://www.kaggle.com/getting-started/116619
Firat Gonen,Several O'reilly ebooks !,2 years,30,26,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/116948
Raju Kumar Mishra,Excellent collection of Microsoft excel interview questions,2 years,5,26,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/119532
Firat Gonen,Scikit Learn's New Features !!,2 years,25,26,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/120755
Raju Kumar Mishra,9 Excellent small projects using Python for learners,2 years,4,26,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/122048
Mohammed Tayor,Top 20 Podcasts About Data Science and Machine Learning in 2020,2 years,66,26,Expert,Expert,48,203,10,9,799,85,https://www.kaggle.com/getting-started/130930
Caesar Lupum,"🥉🥈🥇Data Science Competitions Solutions -Kaggle, Data Hack, Machine Hack, Driven Data",2 years,11,26,Master,Expert,367,524,13,8,393,54,https://www.kaggle.com/getting-started/133502
SAYEEDIN,Covid 19 and world's economy,2 years,1,26,Novice,Novice,1,7,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/160605
CHANDAN,Data Preprocessing with Python,2 years,6,26,Expert,Expert,19,137,11,2,849,156,https://www.kaggle.com/getting-started/163570
Shivam Bansal,"Best of Kaggle Notebooks #6 - CNNs, LSTMs, GRU, AutoEncoder, Tabnet, UNet",4 months,12,26,Grandmaster,Grandmaster,4240,438,29,51,29,20,https://www.kaggle.com/getting-started/284705
Shivam Bansal,"Best of Kaggle Notebooks #10. - Unsupervised Learning, Recommendations Engines",3 months,25,25,Grandmaster,Grandmaster,4240,438,29,51,29,20,https://www.kaggle.com/getting-started/295525
Mohamed Hany,Data Analyst vs Data Scientist,2 months,22,26,Master,Master,121,580,35,17,60,43,https://www.kaggle.com/getting-started/299678
Firuz Juraev,Cool free courses list,a month,42,26,Expert,Expert,47,195,1,1,327,327,https://www.kaggle.com/getting-started/306520
Aashita Kesarwani,Tutorials on NLP,4 years,25,25,Expert,Expert,258,65,1,1,2302,140,https://www.kaggle.com/getting-started/53159
Kushal Bhavsar,Machine Learning & Python Resource 👇 [For Beginner] 😉,3 years,35,25,Expert,Expert,167,86,2,5,1705,181,https://www.kaggle.com/getting-started/91640
Aleksandra Deis,PyTorch Kernels for Beginners,3 years,33,25,Master,Expert,497,186,2,0,1642,245,https://www.kaggle.com/getting-started/97021
Firat Gonen,fast.ai,3 years,22,25,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/97952
masoud parpanchi,Machine Learning (ALL FREE) Roadmap for starters,3 years,26,25,Expert,Expert,35,127,2,1,1498,346,https://www.kaggle.com/getting-started/106989
Prashant Banerjee,Youtube video to learn Tensorflow 2.0,2 years,16,25,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/116447
Firat Gonen,Kaggle Past Solutions,2 years,23,25,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/118319
Raju Kumar Mishra,List of what is new in sklearn version 0.22,2 years,8,25,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/120625
Prashant Banerjee,Deployment of Machine Learning Models,2 years,13,25,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/146155
Carl McBride Ellis,More Notebook upvotes? Change your Profile Photo!,2 years,35,25,Grandmaster,Grandmaster,793,1153,89,85,6,5,https://www.kaggle.com/getting-started/164632
Sujan Shirol,What's new in Python 3.9 release !,a year,42,25,Expert,Expert,31,90,1,2,1305,415,https://www.kaggle.com/getting-started/189597
Jagadish Sivakumar,"Roadmaps on NLP, Text Mining, ML, Probability and Stats",a year,32,25,Expert,Expert,51,242,6,5,439,173,https://www.kaggle.com/getting-started/200943
Mohamed Hany,How to get Data Science Internship,8 months,30,25,Master,Master,121,580,35,17,60,43,https://www.kaggle.com/getting-started/252758
KritiDoneria,I became a discussions Master last week: The Journey so far,5 months,33,25,Master,Master,253,642,39,32,20,16,https://www.kaggle.com/getting-started/275922
Carl McBride Ellis,Ever wondered when most people are on kaggle?,3 months,23,25,Grandmaster,Grandmaster,793,1153,89,85,6,5,https://www.kaggle.com/getting-started/292815
Jehan Bhathena,Free Deep Learning course using PyTorch,3 months,28,22,Expert,Expert,23,47,2,7,481,389,https://www.kaggle.com/getting-started/294148
Berkay Alan,Statistics Courses and Resources | Free | Beginners 💯✔️,2 months,43,25,Expert,Expert,202,265,35,10,105,88,https://www.kaggle.com/getting-started/297415
Andrej Marinchenko,"For beginners in competitions, and not only......",18 days,97,25,Expert,Expert,113,166,9,14,102,102,https://www.kaggle.com/getting-started/308699
Marigolds4Breakfast,Input contains NaN when onehotencoding,3 years,48,24,Novice,Novice,7,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/92041
Firat Gonen,From Montreal.AI Academy: Artificial Intelligence 101 Cheatsheet,3 years,17,24,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/95017
Firat Gonen,Pytorch: Research -> Production,3 years,29,24,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/96953
ratan rohith,R vs Python which one to learn,3 years,32,24,Master,Expert,130,241,3,1,1221,142,https://www.kaggle.com/getting-started/97042
Ganesh,Step by step To become a data scientist,3 years,22,24,Expert,Expert,22,105,0,1,2075,276,https://www.kaggle.com/getting-started/99149
Firat Gonen,New Free Course: Machine Learning with Apache Spark by DataCamp,3 years,22,24,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/100644
Saurav Anand,Seaborn Cheat Sheet,2 years,15,24,Master,Expert,316,410,14,6,400,97,https://www.kaggle.com/getting-started/126958
Eswar Chand,100 Numpy Exercises (Must Know),2 years,19,24,Master,Expert,132,252,3,2,896,145,https://www.kaggle.com/getting-started/146535
Sameer Patel,Best Data Science YouTube Channels to Follow,a year,19,24,Master,Expert,94,231,6,13,306,92,https://www.kaggle.com/getting-started/211577
Vineeth,Resources Worth Exploring,10 months,43,23,Expert,Expert,36,118,0,2,825,471,https://www.kaggle.com/getting-started/235381
Mohamed Hany,R VS Python,10 months,23,24,Master,Master,121,580,35,17,60,43,https://www.kaggle.com/getting-started/235453
USP ANUPAM,Recommended youtube channels for learning,9 months,22,24,Expert,Expert,14,50,0,1,1612,979,https://www.kaggle.com/getting-started/242827
Bala Baskar,🔥Solution to add image in Kaggle discussion topic🔥,8 months,14,24,Expert,Expert,17,155,4,4,359,317,https://www.kaggle.com/getting-started/253463
vardhan SIRAMDASU,Commonly used Machine Learning Algorithms,8 months,25,24,Expert,Expert,35,178,6,7,222,166,https://www.kaggle.com/getting-started/253857
Anitya Gangurde,Best books for learning Machine Learning and Deep Learning,6 months,70,24,Contributor,Contributor,17,28,2,1,Unranked,Unranked,https://www.kaggle.com/getting-started/270674
Abheeshth Mishra,How to Approach Categorical variables,3 months,21,23,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/293581
Parul Pandey,Tools for Reading and Managing Research papers,2 months,27,23,Grandmaster,Expert,3617,149,27,9,360,146,https://www.kaggle.com/getting-started/298669
Vladimir Iglovikov,Deeplearning competitions.,7 years,7,23,Grandmaster,Master,1426,177,24,50,379,6,https://www.kaggle.com/getting-started/16221
Erik van de Ven,Scrape websites without being blocked,4 years,2,23,Contributor,Contributor,6,29,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/45130
Rishabh Pande,How to upload/display images in a Kernel?,4 years,52,23,Expert,Contributor,53,33,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/56828
Firat Gonen,12 things to learn during the 1st Year by Daniel Bourke,3 years,22,23,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/99448
Deepak Deepu,Understand Math of Machine learning in easy way,2 years,21,22,Master,Expert,105,94,8,3,1188,344,https://www.kaggle.com/getting-started/111585
Raju Kumar Mishra,Must not miss these excellent ggplot tutorial in R,2 years,8,23,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/111736
Firat Gonen,NANASHI IS GRAND MASTER ! CONGRATULATIONS! (EDIT: X2),2 years,19,23,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/114560
Raju Kumar Mishra,More than 15 jupyter notebooks to learn Numpy,2 years,7,23,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/115421
Raju Kumar Mishra,Excellent Notebooks to learn Python String,2 years,5,22,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/115914
Prashant Banerjee,Free Tableau tutorial for Beginners,2 years,18,23,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/122304
Raju Kumar Mishra,Youtube abhishek thakur channel,2 years,4,23,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/122541
Ouassim Adnane,🔴 Deep Learning (2020) | MIT Deep Learning Series 📕,2 years,20,23,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/125957
Raju Kumar Mishra,collection of machine learning interview questions,2 years,9,23,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/130529
Mohammad Reza Ghari,Best Business Analytics Courses,2 years,20,23,Expert,Expert,130,124,3,5,1045,188,https://www.kaggle.com/getting-started/149659
Prashant Banerjee,How to Choose the Right Chart Type,2 years,14,23,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/150426
Alexis Cook,Intro to Game AI and Reinforcement Learning Course Discussion,2 years,109,23,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161477
Abheeshth Mishra,Cross-Validation,2 years,38,23,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/169813
Jagadish Sivakumar,"Computer Vision Resources : Architectures, Codes",2 years,21,23,Expert,Expert,51,242,6,5,439,173,https://www.kaggle.com/getting-started/172680
Tanishq Gautam,Video Resources for ML and DL,2 years,22,23,Master,Expert,204,81,2,2,1167,681,https://www.kaggle.com/getting-started/172715
Mohammad Essam,CNN in 7 Steps,2 years,23,23,Expert,Expert,96,202,20,3,426,116,https://www.kaggle.com/getting-started/178653
Akash Gupta,Approach Machine learning Problem in Competition/Hackathon,a year,39,23,Expert,Contributor,24,25,2,1,Unranked,Unranked,https://www.kaggle.com/getting-started/183477
Anandhu H,Introduction to Simple Linear Regression for Beginners,5 months,34,23,Master,Expert,222,403,11,15,90,71,https://www.kaggle.com/getting-started/278215
Baysal Samet Celik,(For Beginner and Intermediate) Best Websites to Learn Data Science,4 months,87,23,Expert,Expert,8,67,2,1,838,738,https://www.kaggle.com/getting-started/289708
Shivam Bansal,Beautiful Visualisations of the Open Source Codebases,3 months,21,19,Grandmaster,Grandmaster,4240,438,29,51,29,20,https://www.kaggle.com/getting-started/294392
Niranjan Singh,How to submit and what to submit for kaggle competitions,8 years,23,22,Expert,Contributor,4,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/9551
NockedDown,Forking a Kernel: Etiquette?,5 years,13,22,Contributor,Contributor,2,12,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/29190
Vasiliy Kirstia,How to hide cell with python code and leave only its output in jupyter notebooks?,4 years,20,22,Contributor,Contributor,1,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/41630
Siddharth Yadav,How to get my work noticed?,4 years,33,22,Master,Expert,652,229,6,1,1723,48,https://www.kaggle.com/getting-started/50450
Kushal Bhavsar,Stock Market📈 Prediction🤔 with Linear Regression [For Beginner],3 years,22,22,Expert,Expert,167,86,2,5,1705,181,https://www.kaggle.com/getting-started/94106
Firat Gonen,A Guide to Gradient Boosted Trees with XGBoost in Python,3 years,4,22,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/95596
Raju Kumar Mishra,Frequent used machine learning algorithms,3 years,14,22,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/96750
Firat Gonen,Ultimate Guide to TensorFlow 2.0 in Python,3 years,17,22,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/99796
Firat Gonen,A Self-Created Artificial Intelligence Masters Degree by Daniel Bourke,3 years,5,22,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/103973
Prashant Banerjee,Machine Learning Case Studies,3 years,9,22,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/105446
Raju Kumar Mishra,A set of questions for data science interview,3 years,19,22,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/108049
Marco Vasquez E,Top 3 Essential Python skills for Data Scientists✔️,2 years,32,22,Master,Expert,268,348,8,8,710,78,https://www.kaggle.com/getting-started/111360
Akshay Gupta,Beginner Resources to learn Machine Learning,2 years,14,22,Contributor,Contributor,15,10,2,0,Unranked,Unranked,https://www.kaggle.com/getting-started/113420
Raju Kumar Mishra,Excellent collection of notebooks to learn Python CLass and Exceptions,2 years,4,22,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/115899
Raju Kumar Mishra,Some excellent Python Notebooks to learn Python and Idiomatic Python,2 years,5,22,Grandmaster,Grandmaster,361,428,28,51,205,24,https://www.kaggle.com/getting-started/115915
Fares Sayah,📊Data Science📈 📋Cheat Sheet📋,2 years,12,22,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/121776
Dipen Bakraniya,Kaggle Courses certificates,2 years,23,22,Contributor,Contributor,2,4,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/125294
gulbulut,Intro to Machine Learning Course Solution Updating,2 years,7,22,Expert,Contributor,25,11,2,0,Unranked,Unranked,https://www.kaggle.com/getting-started/127004
Prashant Banerjee,Naive Bayes Classifier in Python,2 years,15,22,Grandmaster,Grandmaster,1330,465,42,51,240,18,https://www.kaggle.com/getting-started/127730
Fares Sayah,Common linear Regression models Tutorial,2 years,10,22,Master,Expert,899,254,18,11,463,68,https://www.kaggle.com/getting-started/129678
Kush Bhatnagar,Story telling with Data Visualization,2 years,18,22,Expert,Expert,18,77,2,1,1808,363,https://www.kaggle.com/getting-started/139244
G_R_S,Basic Machine Learning Algorithms - Cheat Sheet(s),2 years,32,22,Expert,Expert,37,171,3,3,988,173,https://www.kaggle.com/getting-started/154432
Alexis Cook,Machine Learning Explainability Course Discussion,2 years,143,22,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161307
AkshatGupta,Machine Learning Models in a picture.,2 years,22,22,Expert,Expert,33,74,3,1,1348,352,https://www.kaggle.com/getting-started/165554
