Author_Name,Title,Elapsed_Time,Num_Comments,Number_of_Upvotes,Author_Tier,Author_Discussion_Tier,Num_Followers,Discussion_Golds,Discussion_Silvers,Discussion_Bronzes,Current_Discussion_Rank,Highest_Discussion_Rank,Discussion_link
Prashant Banerjee,Free course on time-series modelling,2 years,0,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/122303
Prashant Banerjee,Beginners Guide to Regression Analysis and Plot Interpretations,2 years,1,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/122847
Fares Sayah,📋How To Handle missing values (the right way)📋?,2 years,4,12,Master,Expert,899,254,18,11,464,68,https://www.kaggle.com/getting-started/122897
Fares Sayah,📅30 days of Data Science Interview👔Preparation - Day 22,2 years,6,12,Master,Expert,899,254,18,11,464,68,https://www.kaggle.com/getting-started/123108
Prashant Banerjee,How to choose the right Classification Metrics,2 years,4,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/123473
Prashant Banerjee,Tensorflow for Deep Learning,2 years,2,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/123997
Prashant Banerjee,Excellent collection of AI books,2 years,6,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/124000
Ouassim Adnane,Hyperparameter optimization using genetic algorithm,2 years,5,12,Master,Master,260,262,38,23,413,50,https://www.kaggle.com/getting-started/124879
Tushar Mittal,Time Series Course in Python,2 years,8,12,Expert,Expert,8,58,1,0,2135,447,https://www.kaggle.com/getting-started/125202
Caesar Lupum,VertebralColumnDataSet,2 years,7,12,Master,Expert,367,524,13,8,393,54,https://www.kaggle.com/getting-started/125268
Solve for Fun,Data Complexity: Is my data complex?,2 years,23,11,Master,Expert,131,312,2,0,716,220,https://www.kaggle.com/getting-started/126738
Parul Pandey,"Kaggle - Competition Winners, Tools and Frameworks, Country wise details, Winners tips",2 years,7,12,Grandmaster,Expert,3616,149,27,9,360,146,https://www.kaggle.com/getting-started/128599
Caesar Lupum,H2O.ai-From Linear Models to Deep Learning,2 years,21,12,Master,Expert,367,524,13,8,393,54,https://www.kaggle.com/getting-started/129513
Fares Sayah,📊 Logistic 📈 Regression 📉 Tutorial(Predict Ad click)📈),2 years,2,12,Master,Expert,899,254,18,11,464,68,https://www.kaggle.com/getting-started/130070
Prashant Banerjee,LightGBM Classifier with Python,2 years,4,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/130994
Wael Dahech,NLP ressources - BERT,2 years,16,11,Contributor,Contributor,1,37,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/131576
Caesar Lupum,Reinforcement Learning Guide: Solving the Multi-Armed Bandit Problem in Python,2 years,12,12,Master,Expert,367,524,13,8,393,54,https://www.kaggle.com/getting-started/131811
Raju Kumar Mishra,All Python3 in one Picture,2 years,0,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/133032
Fares Sayah,"Ensemble ML Algorithms : Bagging, Boosting, Voting",2 years,10,12,Master,Expert,899,254,18,11,464,68,https://www.kaggle.com/getting-started/133218
Raju Kumar Mishra,Notebooks on Python library Pastas for time series analysis,2 years,0,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/134080
Sofien RESIFI,Some useful online courses and articles to learn the basics of time series,2 years,5,11,Expert,Contributor,9,2,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/140893
Prashant Banerjee,Think like a Data Scientist,2 years,5,12,Grandmaster,Grandmaster,1332,465,42,51,240,18,https://www.kaggle.com/getting-started/143860
Anh Phan,Chicago Car Crash Dataset: My Understanding,2 years,1,12,Novice,Novice,4,4,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/144598
Suraj RP,Curse of Dimensionality: Simplified,2 years,16,12,Expert,Expert,15,78,1,1,1830,398,https://www.kaggle.com/getting-started/145340
shivan kumar,Data Science Tutorials,2 years,8,12,Master,Expert,335,186,18,8,491,101,https://www.kaggle.com/getting-started/149837
Ravi Chaubey,Statistical Primer: How to deal with missing data !!,2 years,2,13,Master,Master,364,219,35,15,318,56,https://www.kaggle.com/getting-started/151179
Bhushan Kapkar,17 Equations That Changed the World!!,2 years,13,12,Expert,Expert,37,136,5,4,965,195,https://www.kaggle.com/getting-started/156100
Raju Kumar Mishra,Image segmentation tips and tricks from kaggle competitions,2 years,4,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/156937
CHANDAN,TransCoder: An AI from Facebook,2 years,4,12,Expert,Expert,19,137,11,2,857,156,https://www.kaggle.com/getting-started/157184
Pravin,PyTorch Vs TensorFlow.,2 years,18,12,Expert,Expert,5,69,1,1,1896,471,https://www.kaggle.com/getting-started/158712
Bhushan Kapkar,𝙃𝙞𝙜𝙝-𝙧𝙚𝙨𝙤𝙡𝙪𝙩𝙞𝙤𝙣 𝙉𝙚𝙩𝙬𝙤𝙧𝙠 : A universal neural architecture for visual recognition,2 years,3,12,Expert,Expert,37,136,5,4,965,195,https://www.kaggle.com/getting-started/159722
CHANDAN,Converting Text into Speech with Python,2 years,8,12,Expert,Expert,19,137,11,2,857,156,https://www.kaggle.com/getting-started/159956
